file,line,column,type,text
src\constants.ts,218,33,hex-color,"#6750A4"
src\constants.ts,222,47,hex-color,"#6750A4, #625B71, #7D5260"
src\constants.ts,223,41,hex-color,"#0061A4, #535F70, #6B5778"
src\constants.ts,224,41,hex-color,"#006A6A, #4A6363, #4B6178"
src\constants.ts,225,46,hex-color,"#B3261E, #795942, #755B51"
src\constants.ts,226,42,hex-color,"#386A20, #55624C, #186C5D"
src\constants.ts,227,43,hex-color,"#E65100, #795942, #9C4146"
src\constants.ts,228,43,hex-color,"#2E7D32, #3E6837, #827717"
src\constants.ts,229,42,hex-color,"#0277BD, #006064, #0288D1"
src\constants.ts,230,47,hex-color,"#00E5FF, #F50057, #76FF03"
src\constants.ts,231,46,hex-color,"#1A73E8, #9C27B0, #E8710A"
src\constants.ts,232,46,hex-color,"#EA4335, #4285F4, #34A853"
src\utils\documentUtils.ts,367,104,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,369,118,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,395,16,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,396,22,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,401,76,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,407,97,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,421,74,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,430,108,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,432,78,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,433,113,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,487,52,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,489,102,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,492,127,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,527,104,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,529,63,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,531,108,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,564,114,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,590,80,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,592,108,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,629,76,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,631,108,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,670,79,rgb-color,"rgb/rgba usage"
src\utils\documentUtils.ts,774,88,rgb-color,"rgb/rgba usage"
src\utils\colorUtils.ts,40,12,hex-color,"#EADDFF, #21005D"
src\utils\colorUtils.ts,41,12,hex-color,"#E8DEF8, #1D192B"
src\utils\colorUtils.ts,42,12,hex-color,"#FFD8E4, #31111D"
src\utils\colorUtils.ts,43,12,hex-color,"#FFDBCF, #380D00"
src\utils\colorUtils.ts,44,12,hex-color,"#C4EED0, #07210F"
src\utils\colorUtils.ts,45,12,hex-color,"#D7E3FF, #001B3D"
src\utils\colorUtils.ts,46,12,hex-color,"#E0E0FF, #00006E"
src\utils\colorUtils.ts,47,12,hex-color,"#FFD9E3, #3E001D"
src\utils\colorUtils.ts,48,12,hex-color,"#F2DDA6, #261900"
src\utils\colorUtils.ts,49,12,hex-color,"#CBE6FF, #001E30"
src\utils\colorUtils.ts,50,12,hex-color,"#E6E0E9, #1D1B20"
src\utils\colorUtils.ts,51,12,hex-color,"#F9DEDC, #410E0B"
src\stories\DesignSystem\Typography.stories.tsx,34,19,hardcoded-unit,"1.25rem"
src\stories\DesignSystem\Typography.stories.tsx,35,23,hardcoded-unit,"0.25px"
src\stories\DesignSystem\Typography.stories.tsx,39,17,hardcoded-unit,"1.5rem"
src\stories\DesignSystem\Typography.stories.tsx,41,19,hardcoded-unit,"1.25rem"
src\stories\DesignSystem\Typography.stories.tsx,42,23,hardcoded-unit,"0.15px"
src\stories\DesignSystem\Typography.stories.tsx,49,23,hardcoded-unit,"0.25px"
src\stories\DesignSystem\Typography.stories.tsx,61,19,hardcoded-unit,"1.25rem"
src\stories\DesignSystem\Typography.stories.tsx,62,23,hardcoded-unit,"0.25px"
src\stories\DesignSystem\Typography.stories.tsx,67,17,hardcoded-unit,"1rem"
src\stories\DesignSystem\Typography.stories.tsx,69,19,hardcoded-unit,"1.25rem"
src\stories\DesignSystem\Typography.stories.tsx,70,23,hardcoded-unit,"0.25px"
src\stories\DesignSystem\Typography.stories.tsx,101,22,hardcoded-unit,"0.15px"
src\stories\DesignSystem\Typography.stories.tsx,110,22,hardcoded-unit,"0.1px"
src\stories\DesignSystem\Typography.stories.tsx,135,22,hardcoded-unit,"0.25px"
src\stories\DesignSystem\Typography.stories.tsx,159,22,hardcoded-unit,"0.1px"
src\stories\DesignSystem\Typography.stories.tsx,168,22,hardcoded-unit,"0.5px"
src\stories\DesignSystem\Typography.stories.tsx,177,22,hardcoded-unit,"0.5px"
src\stories\DesignSystem\Spacing.stories.tsx,19,19,hardcoded-unit,"0px"
src\stories\DesignSystem\Colors.stories.tsx,19,77,hex-color,"#FFFFFF"
src\stories\DesignSystem\Colors.stories.tsx,26,72,hex-color,"#FFFFFF"
src\stories\DesignSystem\Colors.stories.tsx,33,70,hex-color,"#FFFFFF"
src\stories\DesignSystem\Colors.stories.tsx,38,58,hex-color,"#B3261E"
src\stories\DesignSystem\Colors.stories.tsx,39,62,hex-color,"#E65100"
src\stories\DesignSystem\Colors.stories.tsx,40,64,hex-color,"#FFFFFF"
src\stories\DesignSystem\Colors.stories.tsx,45,68,hex-color,"#FDFBFF"
src\stories\DesignSystem\Colors.stories.tsx,46,71,hex-color,"#FDFBFF"
src\stories\DesignSystem\Colors.stories.tsx,47,74,hex-color,"#1C1B1F"
src\stories\DesignSystem\Colors.stories.tsx,55,85,hex-color,"#FFFFFF"
src\stories\DesignSystem\Colors.stories.tsx,56,79,hex-color,"#F7F2FA"
src\stories\DesignSystem\Colors.stories.tsx,57,80,hex-color,"#F3EDF7"
src\stories\DesignSystem\Colors.stories.tsx,58,81,hex-color,"#ECE6F0"
src\stories\DesignSystem\Colors.stories.tsx,59,87,hex-color,"#E6E0E9"
src\stories\DesignSystem\Colors.stories.tsx,64,62,hex-color,"#79747E"
src\stories\DesignSystem\Colors.stories.tsx,65,87,hex-color,"#C4C7C5"
src\nka\NKABottomSheet.tsx,69,24,rgb-color,"rgb/rgba usage"
src\nka\NKABottomSheet.tsx,129,19,hardcoded-unit,"10vh"
src\design-system\utils.ts,17,23,hex-color,"#6750A4"
src\design-system\utils.ts,25,13,hex-color,"#6750A4, #FFFFFF, #EADDFF, #21005D"
src\design-system\utils.ts,26,15,hex-color,"#625B71, #FFFFFF, #E8DEF8, #1D192B"
src\design-system\utils.ts,27,14,hex-color,"#7D5260, #FFFFFF, #FFD8E4, #31111D"
src\design-system\utils.ts,28,11,hex-color,"#B3261E, #FFFFFF, #F9DEDC, #410E0B"
src\design-system\utils.ts,29,16,hex-color,"#FFFBFE, #1C1B1F"
src\design-system\utils.ts,30,13,hex-color,"#FFFBFE, #1C1B1F, #E7E0EC, #49454F"
src\design-system\utils.ts,31,13,hex-color,"#79747E, #C4C7C5"
src\design-system\utils.ts,32,28,hex-color,"#FFFFFF, #F7F2FA, #F3EDF7, #ECE6F0, #E6E0E9"
src\design-system\utils.ts,33,21,rgb-color,"rgb/rgba usage"
src\design-system\utils.ts,37,13,hex-color,"#D0BCFF, #381E72, #4F378B, #EADDFF"
src\design-system\utils.ts,38,15,hex-color,"#CCC2DC, #332D41, #4A4458, #E8DEF8"
src\design-system\utils.ts,39,14,hex-color,"#EFB8C8, #492532, #633B48, #FFD8E4"
src\design-system\utils.ts,40,11,hex-color,"#F2B8B5, #601410, #8C1D18, #F9DEDC"
src\design-system\utils.ts,41,16,hex-color,"#1C1B1F, #E6E1E5"
src\design-system\utils.ts,42,13,hex-color,"#1C1B1F, #E6E1E5, #49454F, #CAC4D0"
src\design-system\utils.ts,43,13,hex-color,"#938F99, #444746"
src\design-system\utils.ts,44,28,hex-color,"#0F0D13, #1C1B1F, #201F23, #2B292D, #36343B"
src\design-system\utils.ts,45,21,rgb-color,"rgb/rgba usage"
src\design-system\utils.ts,92,20,rgb-color,"rgb/rgba usage"
src\design-system\utils.ts,136,13,rgb-color,"rgb/rgba usage"
src\design-system\utils.ts,138,13,rgb-color,"rgb/rgba usage"
src\design-system\utils.ts,144,22,rgb-color,"rgb/rgba usage"
src\design-system\utils.ts,161,22,rgb-color,"rgb/rgba usage"
src\design-system\utils.ts,162,23,hex-color,"#000000"
src\design-system\utils.ts,169,46,hex-color,"#000000, #FFFFFF"
src\design-system\theme.test.ts,79,32,hex-color,"#FF0000"
src\design-system\theme.test.ts,92,34,hex-color,"#00FF00"
src\design-system\theme.test.ts,109,33,hex-color,"#000000"
src\design-system\pdf-colors.ts,24,18,hex-color,"#6750A4"
src\design-system\pdf-colors.ts,25,12,hex-color,"#WHITE..."
